startup_name,industry,revenue,expenses,churn_rate,user_growth_rate,funding_received,profit_margin,customer_satisfaction_score,success
Startup_0,Finance,52605,47539,0.16126238425286568,0.3204962130309477,130617,0.04959992816557332,1.8259984582405826,0
Startup_1,Retail,43088,9491,0.47404763399197425,0.49566280189926737,311704,0.4382081138389429,7.128579622632186,1
Startup_2,Tech,83752,52192,0.48400452711625486,0.19636425766604837,326009,-0.17179773798582054,8.913920170263046,1
Startup_3,Finance,60284,65888,0.0996775676750163,0.47357260170883325,449902,0.15855029537393606,5.628043101393798,1
Startup_4,Finance,62043,75609,0.02079722854577705,0.46162900173042665,85910,0.2763356237670617,5.852719715622697,0
Startup_5,Retail,40547,11077,0.36280393943492545,0.05516629688722003,407891,0.4521885815768181,3.2958408954914145,0
Startup_6,Tech,87844,22953,0.21481506759653732,0.25255243691366497,469922,0.23425987648660468,7.910887272703402,1
Startup_7,Tech,32532,78919,0.05353172009290655,0.489696904873208,350130,0.36262866520823384,7.766151286305307,1
Startup_8,Finance,39349,69889,0.3450395117327508,0.0964046130836341,217288,-0.14139254350825614,6.29529120295891,1
Startup_9,Health,50445,25821,0.2771017088477429,0.2965031124724938,20068,0.07015765765584914,2.9139785786020855,1
Startup_10,Finance,10713,39567,0.4904532427805419,0.49053087816849683,64460,0.06176299413534719,1.8731639641338051,1
Startup_11,Finance,61178,26860,0.12143065297207567,0.2999729408476371,372910,0.42040175151900233,1.5781471827141331,1
Startup_12,Finance,54407,23195,0.20794915940000866,0.1354168863374702,56418,-0.09404018011570757,6.3342645997859,0
Startup_13,Finance,75340,79475,0.27584744366375724,0.31198245354166537,298350,-0.09367967936435884,8.4253178722852,1
Startup_14,Retail,55990,23427,0.3979329943421423,0.1419982582772961,138180,0.029990704920058897,8.724973886028323,1
Startup_15,Tech,80672,29083,0.2789309417928288,0.2838669183025179,272431,-0.1618737668432137,5.172598669091048,1
Startup_16,Retail,70545,59372,0.3103210788223551,0.08331899806055659,32337,-0.07227937154325698,8.058441693760452,0
Startup_17,Retail,89791,46064,0.12081205527907096,0.3224672011464821,161738,0.47564674698201453,9.521921767069212,0
Startup_18,Retail,63141,9813,0.42499017676339435,0.28255547260767117,257667,0.09972875790702096,3.476531012392612,0
Startup_19,Finance,28793,33598,0.22002896801553312,0.3830726159426584,142233,0.24241344589570546,4.581643117426815,0
Startup_20,Health,61570,29082,0.07907021748566694,0.33381521202145326,372811,0.30827788154124586,9.383310933370126,1
Startup_21,Tech,42892,31241,0.33545207810765454,0.2973228208388405,362215,0.056872984905040336,4.044078705855563,0
Startup_22,Health,6015,46569,0.11588432206080067,0.36040048216165455,108064,-0.09694104791263813,9.224886612896167,1
Startup_23,Retail,66813,13745,0.05780563001725687,0.11477386110750389,441967,-0.05539328864475346,9.829403760290191,1
Startup_24,Retail,32712,28029,0.43237358511809343,0.3179118475663718,485279,0.01928653360642721,6.956296557169822,1
Startup_25,Health,13415,15025,0.23547950959933545,0.12744977127024998,378655,0.2452478942465579,8.352012605537514,1
Startup_26,Health,67292,16288,0.37714901922093047,0.4664849935333464,492605,0.07879638436233805,7.745910077989767,1
Startup_27,Health,28833,8540,0.152387904305114,0.0807503471805219,417974,-0.19522971146991033,7.295808318539714,1
Startup_28,Retail,9158,70878,0.3956153661096565,0.24366863736085698,468996,0.16638502954723028,3.762379656831093,0
Startup_29,Retail,67680,43846,0.06484860424054986,0.3631088649449502,256686,0.44505937433519244,1.5138490411714933,0
Startup_30,Tech,25309,77932,0.18442695315947785,0.2561099952507164,13178,0.3684543277060753,4.087465592676855,0
Startup_31,Tech,11970,19482,0.489250290807029,0.09144286395480605,41831,0.37764795988174166,7.0024238668351595,0
Startup_32,Retail,77474,25411,0.399054961020323,0.2990205572570183,143248,0.35654061232429174,1.9227627840502124,0
Startup_33,Health,91704,52975,0.2536554058541972,0.3387343589723095,113306,0.026611577927296542,1.1072618468041788,1
Startup_34,Health,51540,62545,0.1764909610653237,0.36670653994572844,174726,0.33563568362807433,2.257231353426448,0
Startup_35,Tech,25384,54307,0.4373464930110135,0.21796691650824151,264292,-0.09978704953216493,7.441623337697158,0
Startup_36,Retail,23017,5093,0.2769754019514127,0.303646986962943,429843,0.2604013030931674,9.755143314907995,0
Startup_37,Tech,80880,79258,0.3816282587558644,0.2528089137225109,193622,0.24909799667949606,9.847582296533384,1
Startup_38,Tech,13702,24042,0.3795127633549204,0.352425217438514,384169,-0.18210114063718574,5.445812342261691,1
Startup_39,Finance,5384,54930,0.018793382498560995,0.3126006352961683,185982,0.3515790935136521,8.824170708931128,1
Startup_40,Finance,5404,46413,0.07186435356838058,0.2865902988016107,100417,0.43227367356659135,7.631438101763536,0
Startup_41,Finance,45943,35756,0.3332183895334237,0.16228596507721188,199323,-0.012809305069524657,5.509362132861431,0
Startup_42,Health,52926,55268,0.089193707530077,0.05090833298670527,438638,0.3686735069303056,6.154844796595781,0
Startup_43,Retail,34189,41214,0.1351917388812463,0.12833675389014318,21984,-0.14231581969663626,2.2350443195518395,0
Startup_44,Retail,17763,30602,0.4738525975578075,0.1026797186408759,99312,0.2199775007827462,9.438953145549329,0
Startup_45,Retail,23384,55331,0.2844893066037068,0.25208813525492607,202458,0.139952805733994,4.1673679365859915,1
Startup_46,Retail,65100,50901,0.3778574584296801,0.3255161678428301,93291,0.18214647331629996,5.0153433081145256,0
Startup_47,Finance,14860,65416,0.2834105620034935,0.14588825390816368,279279,0.44834364131904153,7.044942078981089,1
Startup_48,Health,85642,34196,0.2807316712435354,0.4725756931852342,10320,0.4099206730727974,4.0051222437389855,0
Startup_49,Health,55612,7626,0.056134435961591976,0.0530069581507495,497387,0.34955856006782987,3.2883324489003747,1
Startup_50,Finance,28574,9424,0.1783949643784605,0.3975354568244043,162756,-0.008411079625140344,6.6794445394319855,1
Startup_51,Health,28524,14857,0.14839114035639075,0.331342146288699,459129,0.4382730400802641,1.224856740536645,1
Startup_52,Finance,74172,21982,0.2014568991506705,0.21809966047145685,360918,-0.13174461527528736,7.48652600824011,1
Startup_53,Retail,15916,78961,0.40118865222992084,0.07272002498558357,425105,0.3973304515911514,5.626210328888588,0
Startup_54,Finance,9809,3980,0.19224700727926378,0.3323689573029257,236921,0.029712050647525412,6.45178357468841,0
Startup_55,Retail,37201,50290,0.23133144142352452,0.22352608078954161,370215,-0.16235938183661164,6.686921433221966,0
Startup_56,Retail,58330,28431,0.2047168813378051,0.4713202127359486,189971,0.2685498889685238,5.7434514084330734,1
